,A.1 Expected Annual Damage,A.1 Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Expected Number of Deaths,Total Infrastructure Costs
439,0.0,0.0,76882826.04426882,0.0723115128591571,0.0,0.0,15828830.17036559,0.014096751240605748,11068771.68625446
440,1933990144.127962,1.511888088054674,3548798.2422099486,0.0037587650930683285,0.0,0.0,9644991.272052597,0.010100789248803367,11068771.68625446
441,2612734537.488621,1.548341574420042,45674409.5717518,0.03827184641236861,0.0,0.0,37368247.135623425,0.029954677071391784,11068771.68625446
442,2720633925.1181483,1.5429768215800435,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
443,14998245.461494895,0.012938631326663525,117300953.89641868,0.12920773180430878,0.0,0.0,0.0,0.0,11068771.68625446
444,3119809607.918063,1.5415645737219603,263065867.87214583,0.17807498454867493,0.0,0.0,0.0,0.0,11068771.68625446
445,688865183.2087023,0.4177137103603715,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
446,0.0,0.0,131823310.74203128,0.1297071790515228,0.0,0.0,0.0,0.0,11068771.68625446
447,27618929.515590645,0.023863463534305678,48553107.56126842,0.055408634150309596,0.0,0.0,0.0,0.0,11068771.68625446
448,2304727371.906167,1.5309756322190484,13205093.103852391,0.01091627003797594,0.0,0.0,0.0,0.0,11068771.68625446
449,2660719849.123105,1.5540757643371799,40918082.1456999,0.031612487341064636,0.0,0.0,0.0,0.0,11068771.68625446
450,0.0,0.0,204736565.6794231,0.18533774436786207,0.0,0.0,121562278.94475092,0.10564842667114224,11068771.68625446
451,1884220251.5455046,1.1814252927266022,17605271.05208245,0.014991732682232613,0.0,0.0,46150740.86873098,0.03732677134234975,11068771.68625446
452,2440891159.0105343,1.5108194909771,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
453,0.0,0.0,18946489.280043297,0.023198975599976177,0.0,0.0,490518052.8727324,0.5446414182651261,11068771.68625446
454,2660710558.2086945,1.5540689971458845,0.0,0.0,0.0,0.0,171353099.98443353,0.1341574710519913,11068771.68625446
455,36751629.86797134,0.023551772826837184,477891875.99016464,0.3773865166833451,0.0,0.0,0.0,0.0,11068771.68625446
456,0.0,0.0,40415299.26044433,0.02950802105114377,0.0,0.0,466402584.6079174,0.31372572516210484,11068771.68625446
457,183802541.36236268,0.09720923289301783,75389297.00420924,0.05299409345592022,0.0,0.0,389677170.6556608,0.25742924510538534,11068771.68625446
458,1371846243.795704,1.1472088324764922,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
459,1092622384.4719627,0.8258104437843248,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
460,18318868.854059227,0.013153034662194928,116511185.33611143,0.10756762897233112,0.0,0.0,402315793.1393683,0.3275766523843944,11068771.68625446
461,388442978.64834857,0.29477590819305194,0.0,0.0,68853097.09062138,0.03392510898151214,0.0,0.0,11068771.68625446
